RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,DateOfBirth,OpenAccountDate,CurrentAccountNumber,CreditCardAccountNumber,Balance,BalanceDate,EstimatedSalary
1,15634602,Hargrave,619,France,Female,1/10/1980,1/1/2020,300000015634602,CRE00000015634602T11111,0,1/1/2023,101348.88
2,15647311,Hill,608,Spain,Female,1/16/1981,1/11/2021,300000015647311,CRE00000015647311T11111,83807.86,1/1/2023,112542.58
3,15619304,Onio,502,France,Female,1/11/1980,1/4/2014,300000015619304,CRE00000015619304T11111,159660.8,1/1/2023,113931.57
4,15701354,Boni,699,France,Female,1/12/1983,1/24/2021,300000015701354,CRE00000015701354T11111,0,1/1/2023,93826.63
5,15737888,Mitchell,850,Spain,Female,1/19/1979,1/22/2020,300000015737888,CRE00000015737888T11111,125510.82,1/1/2023,79084.1
6,15574012,Chu,645,Spain,Male,1/27/1978,1/24/2014,300000015574012,CRE00000015574012T11111,113755.78,1/1/2023,149756.71
7,15592531,Bartlett,822,France,Male,1/27/1972,1/21/2015,300000015592531,CRE00000015592531T11111,0,1/1/2023,10062.8
8,15656148,Obinna,376,Germany,Female,1/24/1993,1/23/2018,300000015656148,CRE00000015656148T11111,115046.74,1/1/2023,119346.88
9,15792365,He,501,France,Male,1/17/1978,1/4/2018,300000015792365,CRE00000015792365T11111,142051.07,1/1/2023,74940.5
10,15592389,H?,684,France,Male,1/25/1995,1/4/2020,300000015592389,CRE00000015592389T11111,134603.88,1/1/2023,71725.73
11,15767821,Bearce,528,France,Male,1/8/1991,1/17/2016,300000015767821,CRE00000015767821T11111,102016.72,1/1/2023,80181.12
12,15737173,Andrews,497,Spain,Male,1/19/1998,1/23/2019,300000015737173,CRE00000015737173T11111,0,1/1/2023,76390.01
13,15632264,Kay,476,France,Female,1/19/1988,1/20/2012,300000015632264,CRE00000015632264T11111,0,1/1/2023,26260.98
14,15691483,Chin,549,France,Female,1/13/1997,1/21/2017,300000015691483,CRE00000015691483T11111,0,1/1/2023,190857.79
15,15600882,Scott,635,Spain,Female,1/23/1987,1/6/2015,300000015600882,CRE00000015600882T11111,0,1/1/2023,65951.65
16,15643966,Goforth,616,Germany,Male,1/12/1977,1/13/2019,300000015643966,CRE00000015643966T11111,143129.41,1/1/2023,64327.26
17,15737452,Romeo,653,Germany,Male,1/14/1964,1/24/2021,300000015737452,CRE00000015737452T11111,132602.88,1/1/2023,5097.67
18,15788218,Henderson,549,Spain,Female,1/17/1998,1/6/2013,300000015788218,CRE00000015788218T11111,0,1/1/2023,14406.41
19,15661507,Muldrow,587,Spain,Male,1/20/1977,1/3/2016,300000015661507,CRE00000015661507T11111,0,1/1/2023,158684.81
20,15568982,Hao,726,France,Female,1/18/1998,1/8/2016,300000015568982,CRE00000015568982T11111,0,1/1/2023,54724.03
21,15577657,McDonald,732,France,Male,1/22/1981,1/14/2014,300000015577657,CRE00000015577657T11111,0,1/1/2023,170886.17
22,15597945,Dellucci,636,Spain,Female,1/13/1990,1/22/2014,300000015597945,CRE00000015597945T11111,0,1/1/2023,138555.46
23,15699309,Gerasimov,510,Spain,Female,1/21/1984,1/24/2018,300000015699309,CRE00000015699309T11111,0,1/1/2023,118913.53
24,15725737,Mosman,669,France,Male,1/8/1976,1/5/2019,300000015725737,CRE00000015725737T11111,0,1/1/2023,8487.75
25,15625047,Yen,846,France,Female,1/20/1984,1/17/2017,300000015625047,CRE00000015625047T11111,0,1/1/2023,187616.16
26,15738191,Maclean,577,France,Male,1/5/1997,1/20/2019,300000015738191,CRE00000015738191T11111,0,1/1/2023,124508.29
27,15736816,Young,756,Germany,Male,1/3/1986,1/2/2020,300000015736816,CRE00000015736816T11111,136815.64,1/1/2023,170041.95
28,15700772,Nebechi,571,France,Male,1/21/1978,1/6/2013,300000015700772,CRE00000015700772T11111,0,1/1/2023,38433.35
29,15728693,McWilliams,574,Germany,Female,1/7/1979,1/7/2019,300000015728693,CRE00000015728693T11111,141349.43,1/1/2023,100187.43
30,15656300,Lucciano,411,France,Male,1/24/1993,1/3/2022,300000015656300,CRE00000015656300T11111,59697.17,1/1/2023,53483.21
31,15589475,Azikiwe,591,Spain,Female,1/13/1983,1/21/2019,300000015589475,CRE00000015589475T11111,0,1/1/2023,140469.38
32,15706552,Odinakachukwu,533,France,Male,1/3/1986,1/2/2015,300000015706552,CRE00000015706552T11111,85311.7,1/1/2023,156731.91
